"","id","latitude","longitude","species_guess","scientific_name","common_name","iconic_taxon_name","taxon_id"
"246",6444052,59.80145,10.6137716667,"stinging nettle","Urtica dioica","stinging nettle","Plantae",51884
"247",6444349,51.1030540466,12.5675001144,"stinging nettle","Urtica dioica","stinging nettle","Plantae",51884
"248",6445869,42.2076224769,2.1971505415,"stinging nettle","Urtica dioica","stinging nettle","Plantae",51884
"249",6446172,47.696461916,9.4374811649,"Ortica","Urtica dioica","stinging nettle","Plantae",51884
"250",6468413,45.83876045,10.70624057,"Ortica","Urtica dioica","stinging nettle","Plantae",51884
"251",6529953,59.9858166667,29.7707166667,"stinging nettle","Urtica dioica","stinging nettle","Plantae",51884
"252",6549649,49.315007,8.525605,"stinging nettle","Urtica dioica","stinging nettle","Plantae",51884
"253",6559067,50.640075,-3.780745,"stinging nettle","Urtica dioica","stinging nettle","Plantae",51884
"254",6573174,58.3922716667,26.7135633333,"stinging nettle","Urtica dioica","stinging nettle","Plantae",51884
"255",6586691,50.937531,6.9602786,"stinging nettle","Urtica dioica","stinging nettle","Plantae",51884
"256",6589063,60.21582129,24.8868354,"stinging nettle","Urtica dioica","stinging nettle","Plantae",51884
"257",6589309,49.2970883333,14.4736466667,"stinging nettle","Urtica dioica","stinging nettle","Plantae",51884
"258",6645266,45.5341423,9.2192751,"Ortica","Urtica dioica","stinging nettle","Plantae",51884
"259",6664154,51.7853283333,10.6467383333,"stinging nettle","Urtica dioica","stinging nettle","Plantae",51884
"260",6671085,59.1480407166,17.4655528553,"stinging nettle","Urtica dioica","stinging nettle","Plantae",51884
"261",6677877,45.036629,10.499473,"Ortica","Urtica dioica","stinging nettle","Plantae",51884
"262",6681300,52.517575,13.3715966667,"Ortica","Urtica dioica","stinging nettle","Plantae",51884
"263",6701955,57.6839675903,11.9516267776,"Stinging nettle","Urtica dioica","stinging nettle","Plantae",51884
"264",6704330,54.2015690327,24.3456786081,"Ortica","Urtica dioica","stinging nettle","Plantae",51884
"265",6705771,49.1631798975,7.7570718527,"stinging nettle","Urtica dioica","stinging nettle","Plantae",51884
"266",6752528,59.36665,18.0550221667,"Ortiga","Urtica dioica","stinging nettle","Plantae",51884
"267",6788703,59.4394454956,24.7605552673,"stinging nettle","Urtica dioica","stinging nettle","Plantae",51884
"268",6791264,47.6243666667,9.5304916667,"stinging nettle","Urtica dioica","stinging nettle","Plantae",51884
